"FTSE EPRA Nareit United States USD Price Return Index | Price History                                          04-May-2021 23:39",,,,,,,
,,,,,,,
,,,,,,,
.FTUNUS,,,,,,,
"Interval: Daily",,,,,,,
"History Period: 04-May-2001 - 03-May-2021",,,,,,,
"Currency Conversion: USD",,,,,,,
,,,,,,,
,,,,,,,
".FTUNUS Statistics     Daily     04-May-2001 - 03-May-2021",,,,,,,
Price,,,Up/Down,,"Price Change (Close-Close)",,
High,"3431,19",2020/02/21,Up,2688,Up,"0,183511498032571",2008/11/24
Low,"688,96",2009/03/06,Down,2331,Down,"-0,194984218903146",2008/12/01
Avg,"2241,01562143895",,Unch,172,Period,"1,68930494101673","04-May-2001 - 03-May-2021"
,,,,,,,
,,,,,,,
".FTUNUS History     Daily     04-May-2001 - 03-May-2021",,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,
2005/10/27,"1983,73","-27,3799999999999","-0,0136143721626365","2011,11","1982,72","2011,11",
2005/10/26,"2011,11","-19,1000000000001","-0,00940789376468451","2030,21","2005,64","2030,97",
2005/10/25,"2030,21","-11,8199999999999","-0,00578835766369737","2042,03","2022,75","2048,39",
2005/10/24,"2042,03","38,3199999999999","0,0191245240079652","2003,71","2003,71","2042,04",
2005/10/21,"2003,71","21,6100000000001","0,0109025780737602","1982,1","1982,1","2010,48",
2005/10/20,"1982,1","-30,02","-0,0149195873009562","2012,12","1978,31","2014,28",
2005/10/19,"2012,12","28,55","0,0143932404704648","1983,57","1963,09","2012,23",
2005/10/18,"1983,57","-21,3700000000001","-0,0106586730774986","2004,94","1981,5","2008,8",
2005/10/17,"2004,94","8,32000000000016","0,0041670423014896","1996,62","1987,4","2004,94",
2005/10/14,"1996,62","43,4799999999998","0,0222615890309961","1953,14","1953,14","1997,24",
2005/10/13,"1953,14","-1,72999999999979","-0,000884969332999018","1954,87","1934,26","1966,63",
2005/10/12,"1954,87","-33,1100000000001","-0,016655097133774","1987,98","1940,22","1987,98",
2005/10/11,"1987,98","-13,79","-0,00688890332056129","2001,77","1982,98","2011,22",
2005/10/10,"2001,77","-26,6200000000001","-0,0131237089514344","2028,39","1999,42","2028,39",
2005/10/07,"2028,39","-15,3899999999999","-0,00753016469483011","2043,78","2014,21","2047,98",
2005/10/06,"2043,78","-2,47000000000003","-0,00120708613317045","2046,25","2027,43","2057,27",
2005/10/05,"2046,25","-37,5500000000002","-0,0180199635281698","2083,8","2045,17","2083,8",
2005/10/04,"2083,8","-32,52","-0,015366296212293","2116,32","2083,8","2116,93",
2005/10/03,"2116,32","5,84000000000015","0,00276714301959751","2110,48","2096,28","2120,92",
2005/09/30,"2110,48","28,4400000000001","0,0136596799293001","2082,04","2082,04","2113,17",
2005/09/29,"2082,04","29,8499999999999","0,0145454368260248","2052,19","2040,34","2082,28",
2005/09/28,"2052,19","-19,8800000000001","-0,00959427046383573","2072,07","2045,47","2076,38",
2005/09/27,"2072,07","-5,00999999999976","-0,00241203997920146","2077,08","2053,88","2077,85",
2005/09/26,"2077,08","9,00999999999976","0,0043567190665692","2068,07","2068,07","2080,48",
2005/09/23,"2068,07","6,30000000000018","0,00305562696130033","2061,77","2049,82","2076,47",
2005/09/22,"2061,77","7,42999999999984","0,00361673335475132","2054,34","2030,11","2068,38",
2005/09/21,"2054,34","-42,5099999999998","-0,0202732670434222","2096,85","2053,29","2096,85",
2005/09/20,"2096,85","-15,5599999999999","-0,00736599429088101","2112,41","2094,59","2122,86",
2005/09/19,"2112,41","-20,2200000000003","-0,00948125084988969","2132,63","2111,19","2133,33",
2005/09/16,"2132,63","0,220000000000255","0,000103169653115608","2132,41","2122,68","2136,02",
2005/09/15,"2132,41","5,00999999999976","0,00235498730845152","2127,4","2126,46","2133,61",
2005/09/14,"2127,4","-5,44999999999982","-0,00255526642754991","2132,85","2123,69","2138,36",
2005/09/13,"2132,85","-15,3499999999999","-0,00714551717717154","2148,2","2132,53","2148,2",
2005/09/12,"2148,2","-7,12000000000035","-0,00330345377948534","2155,32","2146,53","2155,46",
2005/09/09,"2155,32","9,15000000000009","0,00426340877004156","2146,17","2145,99","2155,53",
2005/09/08,"2146,17","-5,84000000000015","-0,00271374203651477","2152,01","2141,68","2154,56",
2005/09/07,"2152,01","-11,8299999999999","-0,00546713250517595","2163,84","2142,25","2163,84",
2005/09/06,"2163,84","48,25","0,0228068765687113","2115,59","2115,59","2164,71",
2005/09/05,"2115,59",0,0,"2115,59","2115,59","2115,59",
2005/09/02,"2115,59","-6,07999999999993","-0,00286566713956455","2121,67","2111,73","2132,35",
2005/09/01,"2121,67","10,04","0,00475462083793087","2111,63","2109,01","2151,7",
2005/08/31,"2111,63","43,4000000000001","0,0209841265236459","2068,23","2066,95","2111,63",
2005/08/30,"2068,23","1,59000000000015","0,000769364765997051","2066,64","2053,12","2069,94",
2005/08/29,"2066,64","-3,84999999999991","-0,00185946321885153","2070,49","2049,85","2073,5",
2005/08/26,"2070,49","-25,48","-0,012156662547651","2095,97","2070,49","2099,59",
2005/08/25,"2095,97","8,25","0,00395167934397333","2087,72","2081,89","2103,08",
2005/08/24,"2087,72","6,13999999999987","0,00294968245275218","2081,58","2081,23","2106,21",
2005/08/23,"2081,58","3,04999999999973","0,0014673831987028","2078,53","2074,81","2089,24",
2005/08/22,"2078,53","12,1200000000003","0,00586524455456582","2066,41","2066,41","2080,53",
2005/08/19,"2066,41","-7,53999999999996","-0,00363557462812506","2073,95","2064,79","2077,93",
2005/08/18,"2073,95","-14,2800000000002","-0,00683832719575918","2088,23","2070,1","2088,23",
2005/08/17,"2088,23","-15,25","-0,00724989065738681","2103,48","2081,71","2105,02",
2005/08/16,"2103,48","8,07000000000016","0,00385127492948882","2095,41","2093,99","2111,27",
2005/08/15,"2095,41","15,75","0,0075733533366031","2079,66","2070,62","2107,21",
2005/08/12,"2079,66","1,27999999999975","0,000615864278909413","2078,38","2061,67","2087,77",
2005/08/11,"2078,38","21,6900000000001","0,0105460716004843","2056,69","2055,19","2078,38",
2005/08/10,"2056,69","9,68000000000006","0,00472884841793644","2047,01","2047,01","2083,46",
2005/08/09,"2047,01","17,48","0,00861283154227827","2029,53","2029,53","2066,63",
2005/08/08,"2029,53","-72,6800000000001","-0,0345731396958439","2102,21","2022,85","2102,21",
2005/08/05,"2102,21","-71,8299999999999","-0,0330398704715644","2174,04","2089,55","2174,04",
2005/08/04,"2174,04","-42,5700000000002","-0,0192050022331399","2216,61","2173,7","2216,61",
2005/08/03,"2216,61","-7,08999999999969","-0,00318837972748109","2223,7","2202,79","2223,7",
2005/08/02,"2223,7","18,5499999999997","0,00841212615921807","2205,15","2202,12","2223,7",
2005/08/01,"2205,15","-0,400000000000091","-0,000181360658339231","2205,55","2195,55","2210,19",
2005/07/29,"2205,55","-4,11999999999989","-0,00186453180791697","2209,67","2202,28","2213,62",
2005/07/28,"2209,67","27,4400000000001","0,0125742932688122","2182,23","2182,23","2212,98",
2005/07/27,"2182,23","4,82999999999993","0,00221824193992832","2177,4","2163,7","2183,3",
2005/07/26,"2177,4","19,46","0,00901785962538348","2157,94","2157,94","2177,59",
2005/07/25,"2157,94","3,92999999999984","0,00182450406451216","2154,01","2149,48","2163,39",
2005/07/22,"2154,01","18,1500000000001","0,00849774797973654","2135,86","2135,36","2154,01",
2005/07/21,"2135,86","-30,4400000000001","-0,0140516087337857","2166,3","2129,04","2166,3",
2005/07/20,"2166,3","18,8400000000001","0,00877315526249623","2147,46","2136,98","2166,98",
2005/07/19,"2147,46","16,4700000000003","0,0077288021060635","2130,99","2130,99","2150,65",
2005/07/18,"2130,99","4,22999999999956","0,00198894092422256","2126,76","2117,49","2140,17",
2005/07/15,"2126,76","10,8900000000003","0,00514681903897703","2115,87","2104,66","2126,89",
