"M&A SDC Deal Number","Date Announced","Rank Value inc. Net Debt of Target
(USD, Millions)","Target Full Name","Target Macro Industry","Target Mid Industry","Target Nation","Acquiror Full Name","Acquiror Macro Industry","Acquiror Mid Industry","Acquiror Nation","M&A Type","M&A TRBC Activity
('|')","Acquiror Nation of Primary Stock Exchange","Deal Status",,,
1722801020,2005/12/22,"4633,913","Arden Realty Inc","Real Estate",REITs,"United States","GE Capital Real Estate",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1694833040,2005/08/17,"555,840250210514","Prime Real Estate Investment Trust{Prime REIT}","Real Estate",REITs,Singapore,Investors(Non-US),Financials,"Other Financials",,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1620800040,2004/11/24,"2558,48808863551","Link Real Estate Investment Trust","Real Estate",REITs,"Hong Kong",Investors,Financials,"Other Financials","Hong Kong","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1412526040,2003/07/07,"1167,89618297936","MI Developments Inc","Real Estate","Other Real Estate",Canada,Shareholders,Financials,"Other Financials",Canada,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1308954040,2002/07/02,"1806,12710343392","Uni-Invest NV","Real Estate","Other Real Estate",Netherlands,"Investor Group",Financials,"Other Financials",Netherlands,"Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
1292608020,2002/04/26,205,"Pinnacle Holdings Inc",Telecommunications,"Other Telecom","United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Specialized REITs (NEC)",,Completed,,,
939609040,1999/10/28,"13,372650462244","Alliance Developpement Capital",Financials,"Other Financials",France,"Acanthe Developpement",Financials,"Other Financials",France,"Disclosed Dollar Value Deal","Residential REITs",,Completed,,,
869094020,1999/04/05,"887,276","Sunstone Hotel Investors Inc","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Hospitality REITs",,Completed,,,
738193040,1998/03/06,"15,8469213513242","Safestore PLC(Safeland PLC)",Industrials,"Other Industrials","United Kingdom",Shareholders,Financials,"Other Financials","United Kingdom","Disclosed Dollar Value Deal","Self-Storage REITs",,Completed,,,
666369020,1997/05/28,"0,9","Mission West Properties Inc","Real Estate",REITs,"United States","Investor Group",Financials,"Other Financials","United States","Disclosed Dollar Value Deal","Commercial REITs (NEC)",,Completed,,,
